machine_id,code,nom,type,marque,modele,controller,axes,rpm_max,tool_capacity,statut,secteur_id,date_installation
1,M001,Tour CNC Precision 1,Tour CNC,HANQI-CNC,CNC-1660,FANUC Series 0i-TF,2,4500,0,RUNNING,1,2019-02-02
2,M002,Tour CNC Precision 2,Tour CNC,HANQI-CNC,CNE-20,FANUC Series 0i-TF,2,6000,0,RUNNING,1,2020-03-03
3,M003,Centre usinage CN3,Centre usinage CNC,Hartford,SMC-5,HARTROL-FANUC AI100,3,8000,20,RUNNING,3,2021-04-04
4,M004,Centre usinage CN4,Centre usinage CNC,Hartford,SMC-5,HARTROL-FANUC AI100,3,8000,20,RUNNING,3,2022-05-05
5,M005,Tour CNC Precision 3,Tour CNC,HANQI-CNC,CNC-1660,FANUC Series 0i-TF,2,4500,0,RUNNING,1,2018-06-06
6,M006,Fraiseuse CNC 1,Fraiseuse CNC,Hartford,SMC-5,HARTROL-FANUC AI100,3,8000,24,RUNNING,2,2019-07-07
7,M007,Tour CNC Precision 4,Tour CNC,HANQI-CNC,CNE-20,FANUC Series 0i-TF,2,6000,0,STOPPED,1,2020-08-08
8,M008,Centre usinage CN8,Centre usinage CNC,Hartford,SMC-5,HARTROL-FANUC AI100,3,8000,20,STOPPED,3,2021-09-09
9,M009,Fraiseuse CNC 2,Fraiseuse CNC,Hartford,SMC-5,HARTROL-FANUC AI100,3,8000,24,STOPPED,2,2022-10-10
10,M010,Tour CNC Precision 5,Tour CNC,HANQI-CNC,CNC-1660,FANUC Series 0i-TF,2,4500,0,MAINTENANCE,1,2018-11-11
11,M011,Centre usinage CN11,Centre usinage CNC,Hartford,SMC-5,HARTROL-FANUC AI100,3,8000,20,MAINTENANCE,3,2019-12-12
12,M012,CHC-22120,Machine CNC,HANQI-CNC,CNC-1660,FANUC Series 0i-TF,2,4500,0,BROKEN,1,2020-01-13
